Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
TOTAL,All Donor Types,All Age Groups,"1,032,222","16,018","22,978","5,494","120,817","15,704","8,612",893,"13,174","64,154","25,961","2,065","43,469","17,615","7,663","6,828","10,600","17,386","1,762","22,602","28,552","30,194","30,155","3,457","25,837","10,441","2,419","1,115","18,600","2,910","68,724","31,369","1,546","47,107","9,399","10,807","69,520","3,323","1,646","11,338","1,423","27,087","84,851","12,353",826,"25,524","20,435","2,175","25,294"
TOTAL,All Donor Types,< 1 Year,"8,027",76,76,114,"1,275",162,9,20,303,667,169,0,297,117,55,9,31,24,0,101,146,147,121,16,331,634,9,0,44,2,451,205,0,233,25,6,820,0,0,48,9,151,609,128,2,120,110,0,155
TOTAL,All Donor Types,1-5 Years,"19,898",236,275,129,"3,035",258,99,63,382,"1,326",459,3,773,272,183,51,121,240,6,327,385,427,351,69,573,677,20,1,209,20,"1,244",442,7,806,101,74,"2,101",38,14,217,25,352,"2,298",228,9,257,319,14,382
TOTAL,All Donor Types,6-10 Years,"16,194",308,279,101,"2,002",204,83,32,228,"1,036",462,35,681,299,136,93,125,310,16,252,356,470,430,66,590,278,23,6,163,52,895,484,13,702,129,140,"1,377",29,16,217,27,426,"1,421",218,13,260,289,40,382
TOTAL,All Donor Types,11-17 Years,"71,578","1,328","1,306",428,"7,985","1,459",438,63,739,"4,317","1,922",112,"2,998","1,622",623,650,800,"1,576",89,"1,143","1,557","2,174","2,059",332,"2,467",865,205,40,813,242,"3,290","2,154",73,"2,878",889,745,"4,705",252,59,890,67,"2,095","6,847","1,108",56,"1,626","1,668",114,"1,710"
TOTAL,All Donor Types,18-34 Years,"356,907","5,979","8,211","2,110","42,270","5,840","2,787",292,"4,423","21,716","9,542",647,"15,412","6,909","2,441","2,580","4,085","6,574",501,"7,490","8,793","10,114","9,892","1,217","9,314","3,115",857,312,"5,450","1,083","20,962","11,344",426,"15,892","3,435","3,768","22,980","1,350",488,"4,203",442,"10,144","31,532","4,603",268,"8,932","7,403",652,"8,127"
TOTAL,All Donor Types,35-49 Years,"315,098","4,796","6,923","1,655","36,272","4,787","2,843",229,"3,723","18,505","7,945",738,"12,932","5,460","2,276","1,937","3,283","5,071",616,"7,065","9,114","9,617","9,734",962,"7,209","2,597",831,437,"6,093",903,"21,511","9,560",558,"15,316","2,924","3,622","20,657",898,520,"3,478",441,"8,475","25,292","3,679",247,"8,190","6,475",713,"7,989"
TOTAL,All Donor Types,50-64 Years,"209,339","2,890","4,971",890,"24,428","2,741","2,058",173,"2,736","13,630","4,785",501,"8,875","2,691","1,705","1,304","1,975","3,189",461,"5,156","6,806","6,465","6,337",705,"4,517","1,862",445,290,"4,960",543,"16,298","6,153",408,"9,798","1,663","2,189","14,065",677,474,"2,075",345,"4,857","14,748","2,037",191,"5,258","3,813",537,"5,664"
TOTAL,All Donor Types,65 +,"35,085",405,935,67,"3,531",252,295,21,632,"2,949",676,29,"1,499",245,244,204,179,402,73,"1,068","1,391",779,"1,230",90,829,413,29,29,868,65,"4,069","1,027",61,"1,480",233,262,"2,791",79,75,209,67,587,"2,098",352,40,881,358,105,882
TOTAL,All Donor Types,Unknown,96,0,2,0,19,1,0,0,8,8,1,0,2,0,0,0,1,0,0,0,4,1,1,0,7,0,0,0,0,0,4,0,0,2,0,1,24,0,0,1,0,0,6,0,0,0,0,0,3
TOTAL,Deceased Donor,All Donor Ages,"831,162","12,322","18,622","4,615","98,385","12,030","6,259",658,"9,799","56,736","21,037","1,746","33,767","14,968","6,107","5,975","9,194","14,890","1,013","17,314","21,607","23,015","19,961","3,275","21,920","9,014","2,097",625,"13,647","2,334","51,977","26,689",935,"37,623","8,133","8,507","58,267","2,718",996,"10,071",985,"22,938","69,391","9,418",593,"20,417","16,542","1,803","20,227"
TOTAL,Deceased Donor,< 1 Year,"8,025",76,76,114,"1,275",162,9,20,303,667,169,0,297,117,55,9,31,24,0,101,146,147,121,16,331,634,9,0,44,2,451,205,0,232,24,6,820,0,0,48,9,151,609,128,2,120,110,0,155
TOTAL,Deceased Donor,1-5 Years,"19,896",236,275,129,"3,035",258,99,63,382,"1,326",459,3,773,272,183,51,121,240,6,327,385,427,351,69,573,677,20,1,209,20,"1,244",442,7,806,101,74,"2,099",38,14,217,25,352,"2,298",228,9,257,319,14,382
TOTAL,Deceased Donor,6-10 Years,"16,187",308,279,101,"2,001",204,83,32,227,"1,035",462,35,681,299,136,93,125,310,16,252,356,470,430,66,590,278,23,6,163,52,893,484,13,702,129,140,"1,376",29,16,217,27,426,"1,421",218,13,260,288,40,382
TOTAL,Deceased Donor,11-17 Years,"71,509","1,328","1,306",428,"7,980","1,459",438,63,734,"4,316","1,921",112,"2,990","1,621",623,650,800,"1,576",89,"1,142","1,557","2,173","2,052",332,"2,463",864,205,40,813,242,"3,285","2,154",73,"2,873",886,745,"4,698",251,59,888,67,"2,093","6,843","1,108",56,"1,623","1,668",114,"1,708"
TOTAL,Deceased Donor,18-34 Years,"292,875","4,763","6,775","1,763","34,729","4,684","2,161",196,"3,250","19,399","8,016",546,"11,611","6,043","1,984","2,303","3,610","5,653",332,"5,912","6,892","7,818","7,078","1,155","8,032","2,696",734,208,"4,079",901,"15,597","9,888",260,"12,889","3,085","3,161","19,477","1,090",324,"3,807",298,"8,646","26,231","3,615",182,"7,335","6,366",527,"6,774"
